"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes"
"208. A Mulher Faz o Homem";"1939";"0";"2h 9m";"8,1";" (126 mil)"
"209. Sindicato de Ladrões";"1954";"14";"1h 48m";"8,1";" (173 mil)"
"210. Morangos Silvestres";"1957";"10";"1h 32m";"8,1";" (121 mil)"
"211. Logan";"2017";"16";"2h 17m";"8,1";" (891 mil)"
"212. Rocky, um Lutador";"1976";"12";"2h";"8,1";" (661 mil)"
"213. O 3º Homem";"1949";"14";"1h 44m";"8,1";" (190 mil)"
"214. Era uma Vez em Tóquio";"1953";"10";"2h 17m";"8,1";" (74 mil)"
"215. Spotlight: Segredos Revelados";"2015";"12";"2h 9m";"8,1";" (519 mil)"
"216. O Grande Lebowski";"1998";"14";"1h 57m";"8,1";" (891 mil)"
"217. O Exterminador do Futuro";"1984";"14";"1h 47m";"8,1";" (966 mil)"
"218. O Mistério da Lixeira";"2024";"0";"2h 21m";"8,4";" (69 mil)"
"219. O Sétimo Selo";"1957";"12";"1h 36m";"8,1";" (209 mil)"
"220. Piratas do Caribe: A Maldição do Pérola Negra";"2003";"14";"2h 23m";"8,1";" (1,3 mi)"
"221. O Quarto de Jack";"2015";"14";"1h 58m";"8,1";" (468 mil)"
"222. O Ódio";"1995";"16";"1h 38m";"8,1";" (212 mil)"
"223. Jai Bhim";"2021";"0";"2h 44m";"8,6";" (226 mil)"
"224. Hotel Ruanda";"2004";"14";"2h 1m";"8,1";" (384 mil)"
"225. Platoon";"1986";"14";"2h";"8,1";" (457 mil)"
"226. Os Melhores Anos de Nossa Vida";"1946";"0";"2h 50m";"8,1";" (75 mil)"
"227. Ainda Estou Aqui";"2024";"14";"2h 17m";"8,2";" (110 mil)"
"228. Antes do Pôr do Sol";"2004";"12";"1h 20m";"8,1";" (303 mil)"
"229. O Exorcista";"1973";"14";"2h 2m";"8,1";" (478 mil)"
"230. A Noviça Rebelde";"1965";"0";"2h 52m";"8,1";" (277 mil)"
"231. O Martírio de Joana D'Arc";"1928";"14";"1h 50m";"8,1";" (65 mil)"
"232. O Mágico de Oz";"1939";"0";"1h 42m";"8,1";" (451 mil)"
"233. Os Incríveis";"2004";"0";"1h 55m";"8,0";" (856 mil)"
"234. Sempre ao Seu Lado";"2009";"0";"1h 33m";"8,1";" (329 mil)"
"235. Rush: No Limite da Emoção";"2013";"14";"2h 3m";"8,1";" (535 mil)"
"236. Conta Comigo";"1986";"12";"1h 29m";"8,1";" (465 mil)"
"237. Meu Pai e Meu Filho";"2005";"0";"1h 52m";"8,2";" (98 mil)"
"238. Rede de Intrigas";"1976";"14";"2h 1m";"8,1";" (179 mil)"
"239. O Gigante de Ferro";"1999";"0";"1h 26m";"8,1";" (245 mil)"
"240. A Criada";"2016";"18";"2h 25m";"8,1";" (189 mil)"
"241. A Voz do Silêncio";"2016";"14";"2h 10m";"8,1";" (121 mil)"
"242. Ser ou Não Ser";"1942";"0";"1h 39m";"8,1";" (47 mil)"
"243. A Batalha de Argel";"1966";"14";"2h 1m";"8,1";" (71 mil)"
"244. As Vinhas da Ira";"1940";"12";"2h 9m";"8,1";" (105 mil)"
"245. Na Natureza Selvagem";"2007";"12";"2h 28m";"8,0";" (680 mil)"
"246. Feitiço do Tempo";"1993";"12";"1h 41m";"8,0";" (717 mil)"
"247. Histórias Cruzadas";"2011";"12";"2h 26m";"8,1";" (513 mil)"
"248. Amores Brutos";"2000";"16";"2h 34m";"8,0";" (268 mil)"
"249. A Chantagem";"2015";"0";"2h 43m";"8,2";" (101 mil)"
"250. Rebecca, a Mulher Inesquecível";"1940";"12";"2h 10m";"8,1";" (159 mil)"
